"Freq [GHz]","Phi [deg]","Theta [deg]","dB(DirPhi) []"
10,0,98.5,-25.9617016310237
10,0,99,-25.8956352376557
10,0,99.5,-25.8391570651114
10,0,100,-25.8022492859799
10,0,100.5,-25.7933324299637
10,0,101,-25.8191889802677
10,0,101.5,-25.8850055796317
10,0,102,-25.9944432956478
10,0,102.5,-26.1496670596251
10,0,103,-26.3512826705773
10,0,103.5,-26.5981408478582
10,0,104,-26.8869766504055
10,0,104.5,-27.2118684400925
10,0,105,-27.5635396157551
10,0,105.5,-27.9286123106799
10,0,106,-28.2890782129384
10,0,106.5,-28.6224673749558
10,0,107,-28.9033597699953
10,0,107.5,-29.1067280988232
10,0,108,-29.2128291089944
10,0,108.5,-29.212118984224
10,0,109,-29.1079185315678
10,0,109.5,-28.9153705364018
10,0,110,-28.6572823891665
10,0,110.5,-28.3589804638744
10,0,111,-28.0441826266251
10,0,111.5,-27.73271720184
10,0,112,-27.4398670280183
10,0,112.5,-27.176707326353
10,0,113,-26.9508672399029
10,0,113.5,-26.7673606440763
10,0,114,-26.6293206799117
10,0,114.5,-26.5385879472829
10,0,115,-26.4961579580224
10,0,115.5,-26.5025137506537
10,0,116,-26.5578728039706
10,0,116.5,-26.6623739721671
10,0,117,-26.8162251103964
10,0,117.5,-27.019827418435
10,0,118,-27.2738889486586
10,0,118.5,-27.5795372640186
10,0,119,-27.938439740886
10,0,119.5,-28.3529392532563
10,0,120,-28.8262125924555
10,0,120.5,-29.3624582827365
10,0,121,-29.9671178690097
10,0,121.5,-30.6471264011268
10,0,122,-31.4111639536636
10,0,122.5,-32.2698155509835
10,0,123,-33.2353764073194
10,0,123.5,-34.3205902091551
10,0,124,-35.5344310342233
10,0,124.5,-36.8700822273066
10,0,125,-38.2740814506515
10,0,125.5,-39.5815892955402
10,0,126,-40.4494734118568
10,0,126.5,-40.4892704405095
10,0,127,-39.6746712506496
10,0,127.5,-38.3762167867911
10,0,128,-36.9545558058295
10,0,128.5,-35.5912972196827
10,0,129,-34.3478398051349
10,0,129.5,-33.2336751514027
10,0,130,-32.240134130791
10,0,130.5,-31.3536856315536
10,0,131,-30.5606243427985
10,0,131.5,-29.8484780579709
10,0,132,-29.2062272583973
10,0,132.5,-28.6241294336107
10,0,133,-28.0934444417953
10,0,133.5,-27.606170038689
10,0,134,-27.1548270197178
10,0,134.5,-26.732308442863
10,0,135,-26.3317988537781
10,0,135.5,-25.9467657730607
10,0,136,-25.5710218879759
10,0,136.5,-25.1988503019476
10,0,137,-24.8251766243049
10,0,137.5,-24.4457621487594
10,0,138,-24.0573848390649
10,0,138.5,-23.6579727953718
10,0,139,-23.2466607221684
10,0,139.5,-22.8237534379115
10,0,140,-22.3905983290568
10,0,140.5,-21.9493855958619
10,0,141,-21.5029062831045
10,0,141.5,-21.054301017452
10,0,142,-20.6068277897641
10,0,142.5,-20.1636679451046
10,0,143,-19.7277792596876
10,0,143.5,-19.3017962679242
10,0,144,-18.8879721550699
10,0,144.5,-18.4881536365297
10,0,145,-18.1037796726813
10,0,145.5,-17.7358957641196
10,0,146,-17.3851771764018
10,0,146.5,-17.0519562190575
10,0,147,-16.7362503414647
10,0,147.5,-16.4377891723622
10,0,148,-16.1560396931649
10,0,148.5,-15.8902295258336
10,0,149,-15.6393688801996
10,0,149.5,-15.4022720867013
10,0,150,-15.1775798682453
10,0,150.5,-14.9637835924565
10,0,151,-14.7592526910757
10,0,151.5,-14.5622662255133
10,0,152,-14.3710492048796
10,0,152.5,-14.1838137243879
10,0,153,-13.9988043102869
10,0,153.5,-13.8143460883006
10,0,154,-13.6288936291617
10,0,154.5,-13.4410776909706
10,0,155,-13.2497467082671
10,0,155.5,-13.053999886012
10,0,156,-12.8532092022848
10,0,156.5,-12.6470284838518
10,0,157,-12.4353888824288
10,0,157.5,-12.2184813649918
10,0,158,-11.9967280284801
10,0,158.5,-11.7707449691251
10,0,159,-11.5412999562326
10,0,159.5,-11.3092682440969
10,0,160,-11.0755895525919
10,0,160.5,-10.8412286651999
10,0,161,-10.6071413662012
10,0,161.5,-10.3742466926319
10,0,162,-10.1434058082285
10,0,162.5,-9.91540727425361
10,0,163,-9.69095811747026
10,0,163.5,-9.47067987210557
10,0,164,-9.25510867653588
10,0,164.5,-9.04469850534051
10,0,165,-8.83982668184512
10,0,165.5,-8.64080091811963
10,0,166,-8.44786724757152
10,0,166.5,-8.26121833507684
10,0,167,-8.08100176182695
10,0,167.5,-7.90732798182484
10,0,168,-7.74027773235101
10,0,168.5,-7.57990875176924
10,0,169,-7.42626171587427
10,0,169.5,-7.27936535019876
10,0,170,-7.13924071200834
10,0,170.5,-7.0059046637209
10,0,171,-6.87937258058805
10,0,171.5,-6.75966035083833
10,0,172,-6.64678573706072
10,0,172.5,-6.54076917419095
10,0,173,-6.44163408270934
10,0,173.5,-6.34940677613943
10,0,174,-6.26411604015931
10,0,174.5,-6.18579245707003
10,0,175,-6.11446754444082
10,0,175.5,-6.05017277086977
10,0,176,-5.99293850532255
10,0,176.5,-5.94279294976439
10,0,177,-5.89976109804896
10,0,177.5,-5.86386375749235
10,0,178,-5.83511666339545
10,0,178.5,-5.81352971109092
10,0,179,-5.79910632492081
10,0,179.5,-5.79184297890124
10,0,180,-5.79172887964769
