"Freq [GHz]","Theta [deg]","Phi [deg]","dB(DirTheta) []"
10,90,41,-24.8253453797072
10,90,41.5,-24.8478104118296
10,90,42,-24.9190819631251
10,90,42.5,-25.0422897408579
10,90,43,-25.221493290189
10,90,43.5,-25.4619213225228
10,90,44,-25.7703140411682
10,90,44.5,-26.155421327394
10,90,45,-26.6287452983518
10,90,45.5,-27.2056813737462
10,90,46,-27.9073391985904
10,90,46.5,-28.7635867710932
10,90,47,-29.8184412639368
10,90,47.5,-31.1403323454179
10,90,48,-32.843535626384
10,90,48.5,-35.1385769594893
10,90,49,-38.4681923605041
10,90,49.5,-43.8236033988331
10,90,50,-47.3408139286579
10,90,50.5,-40.5302645175129
10,90,51,-35.7289142069629
10,90,51.5,-32.4330757237905
10,90,52,-29.9318426711665
10,90,52.5,-27.9108542096139
10,90,53,-26.2108284781846
10,90,53.5,-24.7409213830786
10,90,54,-23.4446372853063
10,90,54.5,-22.2845027312782
10,90,55,-21.2343993837277
10,90,55.5,-20.2753956948652
10,90,56,-19.3933264301767
10,90,56.5,-18.5773103199959
10,90,57,-17.8188015813771
10,90,57.5,-17.1109603660469
10,90,58,-16.4482216789064
10,90,58.5,-15.8259921906049
10,90,59,-15.240431984113
10,90,59.5,-14.6882942062748
10,90,60,-14.1668051194858
10,90,60.5,-13.6735729237733
10,90,61,-13.2065174455891
10,90,61.5,-12.763815211793
10,90,62,-12.3438560371337
10,90,62.5,-11.9452083450572
10,90,63,-11.5665911952896
10,90,63.5,-11.2068515206083
10,90,64,-10.8649454521551
10,90,64.5,-10.5399228849823
10,90,65,-10.2309146348299
10,90,65.5,-9.93712168471097
10,90,66,-9.65780613037019
10,90,66.5,-9.39228351723699
10,90,67,-9.13991632529289
10,90,67.5,-8.90010840740798
10,90,68,-8.67230022486236
10,90,68.5,-8.45596475363129
10,90,69,-8.25060395854849
10,90,69.5,-8.05574575113541
10,90,70,-7.87094136178731
10,90,70.5,-7.6957630689692
10,90,71,-7.52980223772047
10,90,71.5,-7.3726676275811
10,90,72,-7.22398393640269
10,90,72.5,-7.0833905516848
10,90,73,-6.95054048530428
10,90,73.5,-6.82509947096165
10,90,74,-6.70674520649286
10,90,74.5,-6.59516672550094
10,90,75,-6.49006388463909
10,90,75.5,-6.39114695439938
10,90,76,-6.29813630248936
10,90,76.5,-6.21076215986355
10,90,77,-6.12876446025975
10,90,77.5,-6.051892744709
10,90,78,-5.97990612297421
10,90,78.5,-5.9125732842534
10,90,79,-5.84967254978531
10,90,79.5,-5.79099196024026
10,90,80,-5.73632939098676
10,90,80.5,-5.68549268851534
10,90,81,-5.63829982148929
10,90,81.5,-5.5945790400951
10,90,82,-5.55416903759288
10,90,82.5,-5.51691910823289
10,90,83,-5.48268929601351
10,90,83.5,-5.45135052911732
10,90,84,-5.42278473527649
10,90,84.5,-5.39688493378855
10,90,85,-5.37355530042652
10,90,85.5,-5.35271120205891
10,90,86,-5.33427919840883
10,90,86.5,-5.31819700902883
10,90,87,-5.30441344423794
10,90,87.5,-5.29288829944976
10,90,88,-5.283592213
10,90,88.5,-5.27650648824947
10,90,89,-5.27162288137705
10,90,89.5,-5.26894335687888
10,90,90,-5.26847981334046
10,90,90.5,-5.2702537825398
10,90,91,-5.27429610536407
10,90,91.5,-5.28064658837332
10,90,92,-5.28935364511959
10,90,92.5,-5.30047392652602
10,90,93,-5.31407194475043
10,90,93.5,-5.33021969500206
10,90,94,-5.34899627975447
10,90,94.5,-5.3704875397093
10,90,95,-5.39478569571757
10,90,95.5,-5.4219890056715
10,90,96,-5.45220144014457
10,90,96.5,-5.48553238029227
10,90,97,-5.52209634123914
10,90,97.5,-5.56201272387906
10,90,98,-5.60540559771274
10,90,98.5,-5.65240351704856
