"Freq [GHz]","Phi [deg]","Theta [deg]","dB(DirPhi) []"
10,90,137,-50.9234121372017
10,90,137.5,-51.3961078044826
10,90,138,-51.5964897652818
10,90,138.5,-51.5193754075655
10,90,139,-51.2212196311562
10,90,139.5,-50.7885952318292
10,90,140,-50.3028782547221
10,90,140.5,-49.8234138697892
10,90,141,-49.3869878077508
10,90,141.5,-49.0136307856824
10,90,142,-48.7126330285584
10,90,142.5,-48.4869068149141
10,90,143,-48.335723929302
10,90,143.5,-48.256304374925
10,90,144,-48.2446869283719
10,90,144.5,-48.2961767273154
10,90,145,-48.4055550205959
10,90,145.5,-48.5671661656501
10,90,146,-48.7749573917536
10,90,146.5,-49.0225262344394
10,90,147,-49.3032195436335
10,90,147.5,-49.6103190243334
10,90,148,-49.9373350687708
10,90,148.5,-50.278408786036
10,90,149,-50.6287912118496
10,90,149.5,-50.9853344875492
10,90,150,-51.3469042036993
10,90,150.5,-51.7146181508747
10,90,151,-52.0918398450318
10,90,151.5,-52.4838961216371
10,90,152,-52.8975237951161
10,90,152.5,-53.3400534843705
10,90,153,-53.8182879131428
10,90,153.5,-54.3369161642403
10,90,154,-54.8961257760549
10,90,154.5,-55.4878725344476
10,90,155,-56.0902417396615
10,90,155.5,-56.6601347531177
10,90,156,-57.1275225251247
10,90,156.5,-57.4004082776962
10,90,157,-57.3920258167758
10,90,157.5,-57.064554196534
10,90,158,-56.453401807496
10,90,158.5,-55.6456114999514
10,90,159,-54.7362167032415
10,90,159.5,-53.799638806538
10,90,160,-52.8837238996312
10,90,160.5,-52.0152168927769
10,90,161,-51.2071224272456
10,90,161.5,-50.4643910652144
10,90,162,-49.7875686755239
10,90,162.5,-49.1749477233077
10,90,163,-48.6237796827779
10,90,163.5,-48.1309382678761
10,90,164,-47.6932717272312
10,90,164.5,-47.307782066102
10,90,165,-46.971709066136
10,90,165.5,-46.6825626160821
10,90,166,-46.4381275096368
10,90,166.5,-46.236453996326
10,90,167,-46.0758412367624
10,90,167.5,-45.9548173049429
10,90,168,-45.872117315289
10,90,168.5,-45.8266599614393
10,90,169,-45.8175218473102
10,90,169.5,-45.8439082278876
10,90,170,-45.9051179932784
10,90,170.5,-46.0004997957055
10,90,171,-46.1293950205264
10,90,171.5,-46.2910617336755
10,90,172,-46.4845717211843
10,90,172.5,-46.7086702787667
10,90,173,-46.9615857371365
10,90,173.5,-47.2407735404312
10,90,174,-47.5425797446525
10,90,174.5,-47.8618145870845
10,90,175,-48.1912446199494
10,90,175.5,-48.5210513674613
10,90,176,-48.8383758912044
10,90,176.5,-49.127173030649
10,90,177,-49.3687054523644
10,90,177.5,-49.5430249426093
10,90,178,-49.6315736695226
10,90,178.5,-49.6205130026787
10,90,179,-49.5037493366345
10,90,179.5,-49.2843906555883
10,90,180,-48.9739364121601
